category,service,price_aed,notes
Vet,Rabies Vaccination MD,120,
Vet,Rabies Vaccination LG,120,
Vet,Kennel Cough Vaccine SM,140,Required for boarding
Vet,Kennel Cough Vaccine MD,140,Required for boarding
Vet,Kennel Cough Vaccine LG,140,Required for boarding
Vet,Deworming SM,60,
Vet,Deworming MD,80,
Vet,Deworming LG,100,
Vet,Flea & Tick Treatment SM,90,
Vet,Flea & Tick Treatment MD,120,
Vet,Flea & Tick Treatment LG,150,
Vet,Microchipping SM,200,
Vet,Microchipping MD,200,
Vet,Microchipping LG,200,
Vet,Health Certificate SM,250,For travel
Vet,Health Certificate MD,250,For travel
Vet,Health Certificate LG,250,For travel
Vet,Blood Test (Basic Panel) SM,350,
Vet,Blood Test (Basic Panel) MD,350,
Vet,Blood Test (Basic Panel) LG,350,
Vet,Blood Test (Full Panel) SM,650,
Vet,Blood Test (Full Panel) MD,650,
Vet,Blood Test (Full Panel) LG,650,
Vet,Dental Check SM,100,
Vet,Dental Check MD,100,
Vet,Dental Check LG,100,
Vet,Dental Cleaning (with anesthesia) SM,800,
Vet,Dental Cleaning (with anesthesia) MD,1000,
Vet,Dental Cleaning (with anesthesia) LG,1250,
Vet,Ear Infection Treatment SM,180,
Vet,Ear Infection Treatment MD,180,
Vet,Ear Infection Treatment LG,180,
Vet,Skin Treatment SM,220,
Vet,Skin Treatment MD,220,
Vet,Skin Treatment LG,220,
Vet,Spay/Neuter Consultation SM,100,
Vet,Spay/Neuter Consultation MD,100,
Vet,Spay/Neuter Consultation LG,100,
Vet,Spay/Neuter Procedure SM,1200,
Vet,Spay/Neuter Procedure MD,1600,
Vet,Spay/Neuter Procedure LG,2000,
Vet,X-Ray SM,300,Per region
Vet,X-Ray MD,300,Per region
Vet,X-Ray LG,300,Per region
Vet,Ultrasound SM,450,
Vet,Ultrasound MD,450,
Vet,Ultrasound LG,450,
Vet,Emergency Consultation SM,400,After hours
Vet,Emergency Consultation MD,400,After hours
Vet,Emergency Consultation LG,400,After hours
Vet,Home Visit SM,250,Within Dubai; plus service fee
Vet,Home Visit MD,250,Within Dubai; plus service fee
Vet,Home Visit LG,250,Within Dubai; plus service fee
